	-- Created by Nila Niroula for CS3810 HomeWork# 4A
 4A. 

 1) 	-- Below is the table that shows total numbers of passengers who departed colorado on all airlines


  city_name       | state_name | airport |                   unique_carrier_name                   | sum(Passengers)
-----------------------+------------+---------+---------------------------------------------------------+---------
 Denver                | Colorado   | DEN     | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |    2141
 Eagle                 | Colorado   | EGE     | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |      22
 Denver                | Colorado   | DEN     | Alaska Airlines Inc.                                    |   26216
 Colorado Springs      | Colorado   | COS     | Allegiant Air                                           |    2681
 Denver                | Colorado   | DEN     | Allegiant Air                                           |    1776
 Grand Junction        | Colorado   | GJT     | Allegiant Air                                           |    2301
 Colorado Springs      | Colorado   | COS     | American Airlines Inc.                                  |   14379
 Denver                | Colorado   | DEN     | American Airlines Inc.                                  |  150387
 Eagle                 | Colorado   | EGE     | American Airlines Inc.                                  |    2489
 Denver                | Colorado   | DEN     | Ameristar Air Cargo                                     |       0
 Aspen                 | Colorado   | ASE     | Avjet Corporation                                       |       3
 Eagle                 | Colorado   | EGE     | Avjet Corporation                                       |       3
 Alamosa               | Colorado   | ALS     | Boutique Air                                            |     623
 Cortez                | Colorado   | CEZ     | Boutique Air                                            |     772
 Denver                | Colorado   | DEN     | Boutique Air                                            |    2560
 Denver                | Colorado   | DEN     | CFM Inc d/b/a Contour Airlines                          |      14
 Grand Junction        | Colorado   | GJT     | Compass Airlines                                        |     126
 Colorado Springs      | Colorado   | COS     | Delta Air Lines Inc.                                    |    4454
 Denver                | Colorado   | DEN     | Delta Air Lines Inc.                                    |  121942
 Durango               | Colorado   | DRO     | Empire Airlines Inc.                                    |       0
 Denver                | Colorado   | DEN     | Endeavor Air Inc.                                       |     139
 Grand Junction        | Colorado   | GJT     | Envoy Air                                               |    5171
 Montrose/Delta        | Colorado   | MTJ     | Envoy Air                                               |     194
 Colorado Springs      | Colorado   | COS     | ExpressJet Airlines Inc.                                |    2167
 Montrose/Delta        | Colorado   | MTJ     | ExpressJet Airlines Inc.                                |     916
 Colorado Springs      | Colorado   | COS     | Federal Express Corporation                             |       0
 Denver                | Colorado   | DEN     | Federal Express Corporation                             |       0
 Durango               | Colorado   | DRO     | Federal Express Corporation                             |       0
 Grand Junction        | Colorado   | GJT     | Federal Express Corporation                             |       0
 Hayden                | Colorado   | HDN     | Federal Express Corporation                             |       0
 Colorado Springs      | Colorado   | COS     | Frontier Airlines Inc.                                  |   13480
 Denver                | Colorado   | DEN     | Frontier Airlines Inc.                                  |  325226
 Denver                | Colorado   | DEN     | GoJet Airlines LLC d/b/a United Express                 |   47398
 Durango               | Colorado   | DRO     | GoJet Airlines LLC d/b/a United Express                 |    6090
 Eagle                 | Colorado   | EGE     | GoJet Airlines LLC d/b/a United Express                 |    1074
 Hayden                | Colorado   | HDN     | GoJet Airlines LLC d/b/a United Express                 |    1184
 Montrose/Delta        | Colorado   | MTJ     | GoJet Airlines LLC d/b/a United Express                 |    3280
 Denver                | Colorado   | DEN     | Great Lakes Airlines                                    |    1852
 Pueblo                | Colorado   | PUB     | Great Lakes Airlines                                    |     231
 Telluride             | Colorado   | TEX     | Great Lakes Airlines                                    |      11
 Colorado Springs      | Colorado   | COS     | Horizon Air                                             |    1004
 Denver                | Colorado   | APA     | Jet Aviation Flight Services, Inc.                      |       2
 Denver                | Colorado   | DEN     | JetBlue Airways                                         |   14675
 Durango               | Colorado   | DRO     | Mesa Airlines Inc.                                      |    5087
 Montrose/Delta        | Colorado   | MTJ     | Mesa Airlines Inc.                                      |    2813
 Colorado Springs      | Colorado   | COS     | Miami Air International                                 |       0
 Denver                | Colorado   | DEN     | Omni Air International LLC                              |       0
 Denver                | Colorado   | DEN     | Peninsula Airways Inc.                                  |    1706
 Colorado Springs      | Colorado   | COS     | Republic Airlines                                       |    3928
 Denver                | Colorado   | DEN     | Republic Airlines                                       |   26284
 Aspen                 | Colorado   | ASE     | SkyWest Airlines Inc.                                   |   15855
 Colorado Springs      | Colorado   | COS     | SkyWest Airlines Inc.                                   |   23091
 Denver                | Colorado   | DEN     | SkyWest Airlines Inc.                                   |  188397
 Durango               | Colorado   | DRO     | SkyWest Airlines Inc.                                   |    5672
 Grand Junction        | Colorado   | GJT     | SkyWest Airlines Inc.                                   |    9856
 Montrose/Delta        | Colorado   | MTJ     | SkyWest Airlines Inc.                                   |     140
 Denver                | Colorado   | DEN     | Southern Air Inc.                                       |       0
 Colorado Springs      | Colorado   | COS     | Southwest Airlines Co.                                  |       3
 Denver                | Colorado   | DEN     | Southwest Airlines Co.                                  |  795775
 Denver                | Colorado   | DEN     | Spirit Air Lines                                        |   53803
 Denver                | Colorado   | DEN     | Sun Country Airlines d/b/a MN Airlines                  |    3559
 Fort Collins/Loveland | Colorado   | FNL     | Sun Country Airlines d/b/a MN Airlines                  |      97
 Montrose/Delta        | Colorado   | MTJ     | Sun Country Airlines d/b/a MN Airlines                  |      49
 Pueblo                | Colorado   | PUB     | Sun Country Airlines d/b/a MN Airlines                  |     105
 Denver                | Colorado   | DEN     | Swift Air, LLC                                          |      66
 Grand Junction        | Colorado   | GJT     | Swift Air, LLC                                          |     138
 Colorado Springs      | Colorado   | COS     | Trans States Airlines                                   |     801
 Denver                | Colorado   | DEN     | Trans States Airlines                                   |   46617
 Durango               | Colorado   | DRO     | Trans States Airlines                                   |      47
 Grand Junction        | Colorado   | GJT     | Trans States Airlines                                   |    2600
 Gunnison              | Colorado   | GUC     | Trans States Airlines                                   |     245
 Hayden                | Colorado   | HDN     | Trans States Airlines                                   |     344
 Montrose/Delta        | Colorado   | MTJ     | Trans States Airlines                                   |     880
 Denver                | Colorado   | DEN     | United Air Lines Inc.                                   | 1556932
 Denver                | Colorado   | DEN     | United Parcel Service                                   |       0
 Denver                | Colorado   | DEN     | Via Airlines d/b/a Charter Air Transport                |     344
 Denver                | Colorado   | DEN     | Virgin America                                          |   10043



 
2)	-- Below is the table that shows the total freight that left colorado on all airlines



       city_name       | state_name | airport |                   unique_carrier_name                   |sum(Frieghts)
-----------------------+------------+---------+---------------------------------------------------------+---------
 Alamosa               | Colorado   | ALS     | Boutique Air                                            |       0
 Aspen                 | Colorado   | ASE     | Avjet Corporation                                       |       0
 Aspen                 | Colorado   | ASE     | SkyWest Airlines Inc.                                   |       0
 Colorado Springs      | Colorado   | COS     | Allegiant Air                                           |       0
 Colorado Springs      | Colorado   | COS     | American Airlines Inc.                                  |       0
 Colorado Springs      | Colorado   | COS     | Delta Air Lines Inc.                                    |    4997
 Colorado Springs      | Colorado   | COS     | ExpressJet Airlines Inc.                                |       0
 Colorado Springs      | Colorado   | COS     | Federal Express Corporation                             |  702215
 Colorado Springs      | Colorado   | COS     | Frontier Airlines Inc.                                  |       0
 Colorado Springs      | Colorado   | COS     | Horizon Air                                             |       0
 Colorado Springs      | Colorado   | COS     | Miami Air International                                 |       0
 Colorado Springs      | Colorado   | COS     | Republic Airlines                                       |       0
 Colorado Springs      | Colorado   | COS     | SkyWest Airlines Inc.                                   |       0
 Colorado Springs      | Colorado   | COS     | Southwest Airlines Co.                                  |       0
 Colorado Springs      | Colorado   | COS     | Trans States Airlines                                   |       0
 Cortez                | Colorado   | CEZ     | Boutique Air                                            |       0
 Denver                | Colorado   | APA     | Jet Aviation Flight Services, Inc.                      |       0
 Denver                | Colorado   | DEN     | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |       0
 Denver                | Colorado   | DEN     | Alaska Airlines Inc.                                    |    9894
 Denver                | Colorado   | DEN     | Allegiant Air                                           |       0
 Denver                | Colorado   | DEN     | American Airlines Inc.                                  |   23683
 Denver                | Colorado   | DEN     | Ameristar Air Cargo                                     |       0
 Denver                | Colorado   | DEN     | Boutique Air                                            |       0
 Denver                | Colorado   | DEN     | CFM Inc d/b/a Contour Airlines                          |       0
 Denver                | Colorado   | DEN     | Delta Air Lines Inc.                                    |   59596
 Denver                | Colorado   | DEN     | Endeavor Air Inc.                                       |       0
 Denver                | Colorado   | DEN     | Federal Express Corporation                             | 8084832
 Denver                | Colorado   | DEN     | Frontier Airlines Inc.                                  |       0
 Denver                | Colorado   | DEN     | GoJet Airlines LLC d/b/a United Express                 |       0
 Denver                | Colorado   | DEN     | Great Lakes Airlines                                    |       0
 Denver                | Colorado   | DEN     | JetBlue Airways                                         |       0
 Denver                | Colorado   | DEN     | Omni Air International LLC                              |       0
 Denver                | Colorado   | DEN     | Peninsula Airways Inc.                                  |       0
 Denver                | Colorado   | DEN     | Republic Airlines                                       |       0
 Denver                | Colorado   | DEN     | SkyWest Airlines Inc.                                   |       0
 Denver                | Colorado   | DEN     | Southern Air Inc.                                       |  431309
 Denver                | Colorado   | DEN     | Southwest Airlines Co.                                  | 1195650
 Denver                | Colorado   | DEN     | Spirit Air Lines                                        |       0
 Denver                | Colorado   | DEN     | Sun Country Airlines d/b/a MN Airlines                  |     122
 Denver                | Colorado   | DEN     | Swift Air, LLC                                          |       0
 Denver                | Colorado   | DEN     | Trans States Airlines                                   |       0
 Denver                | Colorado   | DEN     | United Air Lines Inc.                                   | 1666054
 Denver                | Colorado   | DEN     | United Parcel Service                                   | 5645325
 Denver                | Colorado   | DEN     | Via Airlines d/b/a Charter Air Transport                |       0
 Denver                | Colorado   | DEN     | Virgin America                                          |       0
 Durango               | Colorado   | DRO     | Empire Airlines Inc.                                    |   40799
 Durango               | Colorado   | DRO     | Federal Express Corporation                             |   40799
 Durango               | Colorado   | DRO     | GoJet Airlines LLC d/b/a United Express                 |       0
 Durango               | Colorado   | DRO     | Mesa Airlines Inc.                                      |    1560
 Durango               | Colorado   | DRO     | SkyWest Airlines Inc.                                   |       0
 Durango               | Colorado   | DRO     | Trans States Airlines                                   |       0
 Eagle                 | Colorado   | EGE     | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |       0
 Eagle                 | Colorado   | EGE     | American Airlines Inc.                                  |       0
 Eagle                 | Colorado   | EGE     | Avjet Corporation                                       |       0
 Eagle                 | Colorado   | EGE     | GoJet Airlines LLC d/b/a United Express                 |       0
 Fort Collins/Loveland | Colorado   | FNL     | Sun Country Airlines d/b/a MN Airlines                  |       0
 Grand Junction        | Colorado   | GJT     | Allegiant Air                                           |       0
 Grand Junction        | Colorado   | GJT     | Compass Airlines                                        |       0
 Grand Junction        | Colorado   | GJT     | Envoy Air                                               |     639
 Grand Junction        | Colorado   | GJT     | Federal Express Corporation                             |  727719
 Grand Junction        | Colorado   | GJT     | SkyWest Airlines Inc.                                   |       0
 Grand Junction        | Colorado   | GJT     | Swift Air, LLC                                          |       0
 Grand Junction        | Colorado   | GJT     | Trans States Airlines                                   |       0
 Gunnison              | Colorado   | GUC     | Trans States Airlines                                   |       0
 Hayden                | Colorado   | HDN     | Federal Express Corporation                             |   11749
 Hayden                | Colorado   | HDN     | GoJet Airlines LLC d/b/a United Express                 |       0
 Hayden                | Colorado   | HDN     | Trans States Airlines                                   |       0
 Montrose/Delta        | Colorado   | MTJ     | Envoy Air                                               |       1
 Montrose/Delta        | Colorado   | MTJ     | ExpressJet Airlines Inc.                                |       0
 Montrose/Delta        | Colorado   | MTJ     | GoJet Airlines LLC d/b/a United Express                 |       0
 Montrose/Delta        | Colorado   | MTJ     | Mesa Airlines Inc.                                      |       0
 Montrose/Delta        | Colorado   | MTJ     | SkyWest Airlines Inc.                                   |       0
 Montrose/Delta        | Colorado   | MTJ     | Sun Country Airlines d/b/a MN Airlines                  |       0
 Montrose/Delta        | Colorado   | MTJ     | Trans States Airlines                                   |       0
 Pueblo                | Colorado   | PUB     | Great Lakes Airlines                                    |       0
 Pueblo                | Colorado   | PUB     | Sun Country Airlines d/b/a MN Airlines                  |       0
 Telluride             | Colorado   | TEX     | Great Lakes Airlines                                    |       0





 3)	-- Below is the table that shows how many passengers arrived colorado on all airlines


          

        origin_city         |  origin_state  |     dest_city         |              unique_carrier_name                   | sum(Passengers)
----------------------------+----------------+-----------------------+---------------------------------------------------------+--------
 Albany                     | New York       | Denver                | Southwest Airlines Co.                                  |   3762
 Albuquerque                | New Mexico     | Alamosa               | Boutique Air                                            |    114
 Albuquerque                | New Mexico     | Denver                | GoJet Airlines LLC d/b/a United Express                 |    210
 Albuquerque                | New Mexico     | Denver                | Republic Airlines                                       |   1423
 Albuquerque                | New Mexico     | Denver                | SkyWest Airlines Inc.                                   |   2037
 Albuquerque                | New Mexico     | Denver                | Southwest Airlines Co.                                  |  10344
 Albuquerque                | New Mexico     | Denver                | Trans States Airlines                                   |   1561
 Albuquerque                | New Mexico     | Denver                | United Air Lines Inc.                                   |  10228
 Albuquerque                | New Mexico     | Durango               | Empire Airlines Inc.                                    |      0
 Albuquerque                | New Mexico     | Durango               | Federal Express Corporation                             |      0
 Alliance                   | Nebraska       | Denver                | Boutique Air                                            |    162
 Amarillo                   | Texas          | Denver                | SkyWest Airlines Inc.                                   |    143
 Amarillo                   | Texas          | Denver                | Trans States Airlines                                   |   2218
 Anchorage                  | Alaska         | Denver                | United Air Lines Inc.                                   |  10456
 Atlanta                    | Georgia        | Colorado Springs      | Delta Air Lines Inc.                                    |   4432
 Atlanta                    | Georgia        | Denver                | Ameristar Air Cargo                                     |      0
 Atlanta                    | Georgia        | Denver                | Delta Air Lines Inc.                                    |  38561
 Atlanta                    | Georgia        | Denver                | Frontier Airlines Inc.                                  |   9075
 Atlanta                    | Georgia        | Denver                | GoJet Airlines LLC d/b/a United Express                 |   1231
 Atlanta                    | Georgia        | Denver                | Republic Airlines                                       |    459
 Atlanta                    | Georgia        | Denver                | SkyWest Airlines Inc.                                   |   2027
 Atlanta                    | Georgia        | Denver                | Southwest Airlines Co.                                  |  21119
 Atlanta                    | Georgia        | Denver                | United Air Lines Inc.                                   |  17676
 Austin                     | Texas          | Denver                | Frontier Airlines Inc.                                  |   6506
 Austin                     | Texas          | Denver                | GoJet Airlines LLC d/b/a United Express                 |   1961
 Austin                     | Texas          | Denver                | Jet Aviation Flight Services, Inc.                      |      1
 Austin                     | Texas          | Denver                | Republic Airlines                                       |   1627
 Austin                     | Texas          | Denver                | SkyWest Airlines Inc.                                   |   2000
 Austin                     | Texas          | Denver                | Southwest Airlines Co.                                  |  19592
 Austin                     | Texas          | Denver                | United Air Lines Inc.                                   |  17300
 Bakersfield                | California     | Denver                | SkyWest Airlines Inc.                                   |   2325
 Baltimore                  | Maryland       | Denver                | Frontier Airlines Inc.                                  |  18894
 Baltimore                  | Maryland       | Denver                | Southwest Airlines Co.                                  |  37618
 Baltimore                  | Maryland       | Denver                | Spirit Air Lines                                        |    463
 Baltimore                  | Maryland       | Denver                | United Air Lines Inc.                                   | 101624
 Bend/Redmond               | Oregon         | Denver                | SkyWest Airlines Inc.                                   |   3147
 Billings                   | Montana        | Denver                | SkyWest Airlines Inc.                                   |   2113
 Billings                   | Montana        | Denver                | Trans States Airlines                                   |    126
 Billings                   | Montana        | Denver                | United Air Lines Inc.                                   |  15382
 Billings                   | Montana        | Denver                | United Parcel Service                                   |      0
 Birmingham                 | Alabama        | Denver                | Republic Airlines                                       |   1901
 Birmingham                 | Alabama        | Denver                | SkyWest Airlines Inc.                                   |   1767
 Birmingham                 | Alabama        | Denver                | Southwest Airlines Co.                                  |      1
 Bismarck/Mandan            | North Dakota   | Denver                | Frontier Airlines Inc.                                  |   3287
 Bismarck/Mandan            | North Dakota   | Denver                | SkyWest Airlines Inc.                                   |   1617
 Bismarck/Mandan            | North Dakota   | Denver                | Trans States Airlines                                   |   2544
 Boise                      | Idaho          | Denver                | SkyWest Airlines Inc.                                   |   3678
 Boise                      | Idaho          | Denver                | Southwest Airlines Co.                                  |   8712
 Boise                      | Idaho          | Denver                | United Air Lines Inc.                                   |  17600
 Boston                     | Massachusetts  | Denver                | American Airlines Inc.                                  |     65
 Boston                     | Massachusetts  | Denver                | JetBlue Airways                                         |   7738
 Boston                     | Massachusetts  | Denver                | Southwest Airlines Co.                                  |  12774
 Boston                     | Massachusetts  | Denver                | United Air Lines Inc.                                   |  37826
 Bozeman                    | Montana        | Denver                | Frontier Airlines Inc.                                  |   1641
 Bozeman                    | Montana        | Denver                | GoJet Airlines LLC d/b/a United Express                 |    177
 Bozeman                    | Montana        | Denver                | SkyWest Airlines Inc.                                   |   1513
 Bozeman                    | Montana        | Denver                | United Air Lines Inc.                                   |  17462
 Branson                    | Missouri       | Denver                | Via Airlines d/b/a Charter Air Transport                |    308
 Brownsville                | Texas          | Denver                | Swift Air, LLC                                          |     15
 Buffalo                    | New York       | Denver                | Southwest Airlines Co.                                  |     35
 Bullhead City              | Arizona        | Denver                | Sun Country Airlines d/b/a MN Airlines                  |     94
 Bullhead City              | Arizona        | Fort Collins/Loveland | Sun Country Airlines d/b/a MN Airlines                  |     97
 Bullhead City              | Arizona        | Montrose/Delta        | Sun Country Airlines d/b/a MN Airlines                  |     49
 Bullhead City              | Arizona        | Pueblo                | Sun Country Airlines d/b/a MN Airlines                  |    106
 Burbank                    | California     | Aspen                 | SkyWest Airlines Inc.                                   |   2651
 Burbank                    | California     | Colorado Springs      | Frontier Airlines Inc.                                  |   1400
 Burbank                    | California     | Colorado Springs      | SkyWest Airlines Inc.                                   |   3168
 Burbank                    | California     | Denver                | American Airlines Inc.                                  |  14430
 Burbank                    | California     | Denver                | Frontier Airlines Inc.                                  |  19475
 Burbank                    | California     | Denver                | SkyWest Airlines Inc.                                   |  12757
 Burbank                    | California     | Denver                | Southwest Airlines Co.                                  |  70357
 Burbank                    | California     | Denver                | Spirit Air Lines                                        |   8949
 Burbank                    | California     | Denver                | United Air Lines Inc.                                   | 120522
 Burbank                    | California     | Denver                | United Parcel Service                                   |      0
 Burbank                    | California     | Durango               | SkyWest Airlines Inc.                                   |    160
 Burbank                    | California     | Eagle                 | Avjet Corporation                                       |      4
 Burbank                    | California     | Grand Junction        | Allegiant Air                                           |   1184
 Burbank                    | California     | Grand Junction        | Compass Airlines                                        |    169
 Burbank                    | California     | Grand Junction        | SkyWest Airlines Inc.                                   |     16
 Casper                     | Wyoming        | Denver                | GoJet Airlines LLC d/b/a United Express                 |   3257
 Casper                     | Wyoming        | Denver                | SkyWest Airlines Inc.                                   |     48
 Casper                     | Wyoming        | Denver                | Trans States Airlines                                   |   2116
 Casper                     | Wyoming        | Hayden                | Federal Express Corporation                             |      0
 Cedar Rapids/Iowa City     | Iowa           | Denver                | Frontier Airlines Inc.                                  |   2682
 Cedar Rapids/Iowa City     | Iowa           | Denver                | SkyWest Airlines Inc.                                   |    596
 Cedar Rapids/Iowa City     | Iowa           | Denver                | Trans States Airlines                                   |    290
 Cedar Rapids/Iowa City     | Iowa           | Denver                | United Air Lines Inc.                                   |   8690
 Chadron                    | Nebraska       | Denver                | Boutique Air                                            |    519
 Charleston                 | South Carolina | Denver                | Southwest Airlines Co.                                  |   3527
 Charlotte                  | North Carolina | Denver                | American Airlines Inc.                                  |  30528
 Charlotte                  | North Carolina | Denver                | Frontier Airlines Inc.                                  |   4052
 Charlotte                  | North Carolina | Denver                | SkyWest Airlines Inc.                                   |    503
 Charlotte                  | North Carolina | Denver                | Southwest Airlines Co.                                  |    221
 Charlotte                  | North Carolina | Denver                | United Air Lines Inc.                                   |  13536
 Cheyenne                   | Wyoming        | Denver                | Great Lakes Airlines                                    |     14
 Cheyenne                   | Wyoming        | Denver                | Southwest Airlines Co.                                  |      1
 Chicago                    | Illinois       | Aspen                 | SkyWest Airlines Inc.                                   |   2878
 Chicago                    | Illinois       | Colorado Springs      | ExpressJet Airlines Inc.                                |    142
 Chicago                    | Illinois       | Colorado Springs      | Frontier Airlines Inc.                                  |   2391
 Chicago                    | Illinois       | Colorado Springs      | SkyWest Airlines Inc.                                   |   4648
 Chicago                    | Illinois       | Denver                | American Airlines Inc.                                  |  23417
 Chicago                    | Illinois       | Denver                | Frontier Airlines Inc.                                  |   9554
 Chicago                    | Illinois       | Denver                | Southwest Airlines Co.                                  |  38626
 Chicago                    | Illinois       | Denver                | Spirit Air Lines                                        |   9325
 Chicago                    | Illinois       | Denver                | United Air Lines Inc.                                   |  96964
 Chicago                    | Illinois       | Grand Junction        | SkyWest Airlines Inc.                                   |     96
 Chicago                    | Illinois       | Montrose/Delta        | Envoy Air                                               |    211
 Chicago                    | Illinois       | Montrose/Delta        | GoJet Airlines LLC d/b/a United Express                 |    332
 Cincinnati                 | Kentucky       | Denver                | Allegiant Air                                           |   1874
 Cincinnati                 | Kentucky       | Denver                | Delta Air Lines Inc.                                    |   2486
 Cincinnati                 | Kentucky       | Denver                | Endeavor Air Inc.                                       |    143
 Cincinnati                 | Kentucky       | Denver                | Frontier Airlines Inc.                                  |   9518
 Cincinnati                 | Kentucky       | Denver                | GoJet Airlines LLC d/b/a United Express                 |   1602
 Cincinnati                 | Kentucky       | Denver                | SkyWest Airlines Inc.                                   |   2180
 Cincinnati                 | Kentucky       | Denver                | Southern Air Inc.                                       |      0
 Cincinnati                 | Kentucky       | Denver                | United Air Lines Inc.                                   |   1100
 Cleveland                  | Ohio           | Denver                | Frontier Airlines Inc.                                  |   5673
 Cleveland                  | Ohio           | Denver                | Republic Airlines                                       |    200
 Cleveland                  | Ohio           | Denver                | SkyWest Airlines Inc.                                   |    421
 Cleveland                  | Ohio           | Denver                | Southwest Airlines Co.                                  |   4519
 Cleveland                  | Ohio           | Denver                | United Air Lines Inc.                                   |  25134
 Cody                       | Wyoming        | Denver                | SkyWest Airlines Inc.                                   |     35
 Cody                       | Wyoming        | Denver                | Trans States Airlines                                   |   1104
 Columbus                   | Ohio           | Denver                | Frontier Airlines Inc.                                  |   4509
 Columbus                   | Ohio           | Denver                | Jet Aviation Flight Services, Inc.                      |      0
 Columbus                   | Ohio           | Denver                | Republic Airlines                                       |   1554
 Columbus                   | Ohio           | Denver                | SkyWest Airlines Inc.                                   |    724
 Columbus                   | Ohio           | Denver                | Southwest Airlines Co.                                  |   7763
 Columbus                   | Ohio           | Denver                | United Air Lines Inc.                                   |   6114
 CONCORD                    | North Carolina | Eagle                 | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |      0
 Dallas                     | Texas          | Aspen                 | SkyWest Airlines Inc.                                   |   1587
 Dallas                     | Texas          | Colorado Springs      | American Airlines Inc.                                  |  14669
 Dallas                     | Texas          | Denver                | American Airlines Inc.                                  |  44439
 Dallas                     | Texas          | Denver                | Federal Express Corporation                             |      0
 Dallas                     | Texas          | Denver                | Frontier Airlines Inc.                                  |   4204
 Dallas                     | Texas          | Denver                | GoJet Airlines LLC d/b/a United Express                 |    274
 Dallas                     | Texas          | Denver                | Republic Airlines                                       |    198
 Dallas                     | Texas          | Denver                | SkyWest Airlines Inc.                                   |   1359
 Dallas                     | Texas          | Denver                | Southwest Airlines Co.                                  |  26954
 Dallas                     | Texas          | Denver                | Spirit Air Lines                                        |   4810
 Dallas                     | Texas          | Denver                | United Air Lines Inc.                                   |  32858
 Dallas                     | Texas          | Durango               | Mesa Airlines Inc.                                      |   5630
 Dallas                     | Texas          | Eagle                 | American Airlines Inc.                                  |   3286
 Dallas                     | Texas          | Grand Junction        | Envoy Air                                               |   5376
 Dallas                     | Texas          | Montrose/Delta        | Envoy Air                                               |     44
 Dallas                     | Texas          | Montrose/Delta        | Mesa Airlines Inc.                                      |   1885
 Dallas/Fort Worth          | Texas          | Aspen                 | SkyWest Airlines Inc.                                   |   1587
 Dallas/Fort Worth          | Texas          | Colorado Springs      | American Airlines Inc.                                  |  14669
 Dallas/Fort Worth          | Texas          | Denver                | American Airlines Inc.                                  |  44439
 Dallas/Fort Worth          | Texas          | Denver                | Federal Express Corporation                             |      0
 Dallas/Fort Worth          | Texas          | Denver                | Frontier Airlines Inc.                                  |   4204
 Dallas/Fort Worth          | Texas          | Denver                | GoJet Airlines LLC d/b/a United Express                 |    274
 Dallas/Fort Worth          | Texas          | Denver                | Republic Airlines                                       |    198
 Dallas/Fort Worth          | Texas          | Denver                | SkyWest Airlines Inc.                                   |   1359
 Dallas/Fort Worth          | Texas          | Denver                | Southwest Airlines Co.                                  |  26954
 Dallas/Fort Worth          | Texas          | Denver                | Spirit Air Lines                                        |   4810
 Dallas/Fort Worth          | Texas          | Denver                | United Air Lines Inc.                                   |  32858
 Dallas/Fort Worth          | Texas          | Durango               | Mesa Airlines Inc.                                      |   5630
 Dallas/Fort Worth          | Texas          | Denver                | United Air Lines Inc.                                   |  32858
 Dallas/Fort Worth          | Texas          | Durango               | Mesa Airlines Inc.                                      |   5630
 Dallas/Fort Worth          | Texas          | Eagle                 | American Airlines Inc.                                  |   3286
 Dallas/Fort Worth          | Texas          | Grand Junction        | Envoy Air                                               |   5376
 Dallas/Fort Worth          | Texas          | Montrose/Delta        | Envoy Air                                               |     44
 Dallas/Fort Worth          | Texas          | Montrose/Delta        | Mesa Airlines Inc.                                      |   1885
 Dayton                     | Ohio           | Denver                | GoJet Airlines LLC d/b/a United Express                 |   2229
 Dayton                     | Ohio           | Denver                | SkyWest Airlines Inc.                                   |   1309
 Des Moines                 | Iowa           | Denver                | Frontier Airlines Inc.                                  |   4625
 Des Moines                 | Iowa           | Denver                | GoJet Airlines LLC d/b/a United Express                 |    122
 Des Moines                 | Iowa           | Denver                | Republic Airlines                                       |   1128
 Des Moines                 | Iowa           | Denver                | SkyWest Airlines Inc.                                   |   2353
 Des Moines                 | Iowa           | Denver                | Tradewind Aviation                                      |      2
 Des Moines                 | Iowa           | Denver                | Trans States Airlines                                   |    677
 Des Moines                 | Iowa           | Denver                | United Air Lines Inc.                                   |  16840
 Detroit                    | Michigan       | Denver                | Delta Air Lines Inc.                                    |  17813
 Detroit                    | Michigan       | Denver                | Frontier Airlines Inc.                                  |   5583
 Detroit                    | Michigan       | Denver                | Southwest Airlines Co.                                  |   8068
 Detroit                    | Michigan       | Denver                | Spirit Air Lines                                        |   4613
 Detroit                    | Michigan       | Denver                | United Air Lines Inc.                                   |  17456
 Devils Lake                | North Dakota   | Denver                | SkyWest Airlines Inc.                                   |    623
 Dickinson                  | North Dakota   | Denver                | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |     35
 Dickinson                  | North Dakota   | Denver                | Trans States Airlines                                   |   1671
 Dodge City                 | Kansas         | Denver                | Peninsula Airways Inc.                                  |    139
 El Paso                    | Texas          | Denver                | Republic Airlines                                       |    242
 El Paso                    | Texas          | Denver                | SkyWest Airlines Inc.                                   |   3534
 El Paso                    | Texas          | Denver                | Southwest Airlines Co.                                  |    530
 El Paso                    | Texas          | Denver                | Trans States Airlines                                   |   1612
 Eugene                     | Oregon         | Denver                | SkyWest Airlines Inc.                                   |   1828
 Eugene                     | Oregon         | Denver                | United Air Lines Inc.                                   |   6334
 Fargo                      | North Dakota   | Denver                | SkyWest Airlines Inc.                                   |   2362
 Fargo                      | North Dakota   | Denver                | Trans States Airlines                                   |   1207
 Farmington                 | New Mexico     | Denver                | Great Lakes Airlines                                    |    313
 Farmington                 | New Mexico     | Durango               | Empire Airlines Inc.                                    |      0
 Farmington                 | New Mexico     | Durango               | Federal Express Corporation                             |      0
 Fayetteville               | Arkansas       | Denver                | Republic Airlines                                       |    130
 Fayetteville               | Arkansas       | Denver                | SkyWest Airlines Inc.                                   |   1526
 Fayetteville               | Arkansas       | Denver                | Trans States Airlines                                   |    569
 Fort Lauderdale            | Florida        | Denver                | American Airlines Inc.                                  |  12457
 Fort Lauderdale            | Florida        | Denver                | Frontier Airlines Inc.                                  |   5285
 Fort Lauderdale            | Florida        | Denver                | Southwest Airlines Co.                                  |   6520
 Fort Lauderdale            | Florida        | Denver                | Spirit Air Lines                                        |   5583
 Fort Lauderdale            | Florida        | Denver                | United Air Lines Inc.                                   |  15964
